"site","habitat_type","species","replicate","height_cm","leaf_area_cm2","biomass_g","chlorophyll_content","soil_moisture","soil_ph","temperature_C","light_intensity","nitrogen_ppm","phosphorus_ppm","potassium_ppm","growth_rate_cm_week"
"A","forest","species1","2",57.1,54.75,14.55,41.56,0.714,6.4,22.61,270.4,46.1,20.96,33.13,5.584
"B","forest","species1","2",51.3,44.31,12.03,46.54,0.624,5.37,21.25,231,32.54,16.26,37.77,2.996
"C","forest","species1","2",51.53,51.15,21.08,45.11,0.506,5.7,19.05,50,36.35,20.26,30.56,4.232
"D","forest","species1","2",58.67,57.59,3.13,42.3,0.658,5.69,22.55,213.1,37.08,15,35.98,3.617
"A","grassland","species1","2",67.25,24.49,17.89,34.54,0.42,6.01,23.02,758,36.5,19.47,26.74,6.095
"B","grassland","species1","2",44.66,32.1,12.12,35.1,0.464,6.17,22.73,605.2,26.96,18.33,27.97,4.934
"C","grassland","species1","2",40.72,38.28,4.96,39.24,0.42,5.49,19.6,577.3,20.79,15.53,32.55,3.076
"D","grassland","species1","2",51.6,30.08,11.48,42.68,0.477,6.32,21.06,513.5,34.14,17.43,31.66,6.946
"A","wetland","species1","2",52.03,32.02,6.74,30.36,0.907,6.13,23.82,348.9,48.3,27.36,28.36,1.399
"B","wetland","species1","2",42.16,36.46,5.15,40.51,0.854,6.33,20.51,401.9,31.06,10.83,35.06,2.788
"C","wetland","species1","2",36.46,24.76,0.5,31.54,0.751,6.12,20.59,354.3,34.58,22.14,32.66,4.072
"D","wetland","species1","2",43.74,17.68,15.6,36,0.729,6.67,20.78,363.4,24.89,12.46,28.44,2.934
"A","forest","species2","2",70.38,65.36,13.25,53.47,0.613,7.5,22.91,235.2,49.26,26.82,32.87,4.125
"B","forest","species2","2",60.52,40,16.46,52.26,0.653,6.09,21.58,288.1,47.09,25.88,34.8,4.404
"C","forest","species2","2",48.97,43.04,9.16,50.77,0.508,6.06,20.35,283.6,39.81,23.4,34.44,2.521
"D","forest","species2","2",63.09,54.6,24.22,49.96,0.587,6.5,20.11,195.6,33.43,19.09,36.7,7.26
"A","grassland","species2","2",59.46,62.78,14.38,46.19,0.528,6.88,22.29,578.7,42.68,13.63,27.26,2.988
"B","grassland","species2","2",49.93,41.91,21.87,43.83,0.363,6.44,19.99,596.4,33.45,19.12,29.99,3.081
"C","grassland","species2","2",49.19,46.01,11.41,44.84,0.385,5.28,20.27,519.2,37.23,19.95,32.21,1.174
"D","grassland","species2","2",60.82,60.06,20.77,45.02,0.507,6.13,20.07,587.4,18.23,9.15,33.05,1.563
"A","wetland","species2","2",70.24,52.13,16.57,46.72,0.869,6.68,23.55,627.5,38.3,17.06,30.29,5.577
"B","wetland","species2","2",48.13,21.95,12.07,45.58,0.85,6.54,19.51,333,38.47,19.23,32.47,5.953
"C","wetland","species2","2",55.03,45.45,10.83,44.96,0.755,5.68,19.14,235.6,36.27,15.84,27.2,5.084
"D","wetland","species2","2",49.21,52.63,11.11,43.35,0.831,6.15,19.54,343.7,35.98,17.38,32.76,4.632
"A","forest","species3","2",69.28,41.36,19.28,56.54,0.78,5.5,22.54,227,57.24,29.21,37.7,4.474
"B","forest","species3","2",68.74,65.12,18.01,57.63,0.528,5.6,20.34,212.7,40.34,18.95,32.68,2.224
"C","forest","species3","2",50.83,40.06,2.78,56.45,0.567,6.56,19.7,88.3,39.79,17.97,38.16,2.149
"D","forest","species3","2",55.65,45.52,18.28,53.81,0.552,5.69,19.83,226.1,36.91,19.91,36.37,4.959
"A","grassland","species3","2",57.96,42.88,9.07,52.9,0.526,6.75,23.4,741.6,44.94,23.03,32.88,7.072
"B","grassland","species3","2",56.89,55.88,17.23,51.67,0.398,5.78,21.94,594.1,33.08,14.73,33.29,2.519
"C","grassland","species3","2",37.31,44.09,7.09,48.55,0.332,5.76,20.22,502.8,29.12,15.58,27.51,3.505
"D","grassland","species3","2",57.84,61.98,13.11,48.89,0.456,6.07,20.73,574,19.79,9.16,31.09,5.063
"A","wetland","species3","2",61.65,39.64,16.33,44.2,0.95,6.06,22.85,528.2,42.86,18.19,31.82,3.761
"B","wetland","species3","2",46.68,44.94,5.47,42.44,0.71,5.49,21.11,419.4,37.37,18.95,33.13,3.973
"C","wetland","species3","2",40.03,28.27,8.02,46.02,0.608,6.22,18.99,407.6,30.82,12.22,32.67,2.611
"D","wetland","species3","2",45.72,26.74,6.25,49.61,0.814,5.72,18.06,385.7,28.03,14.38,39.26,2.347
"A","forest","species1","3",66.17,56.83,18.3,49.47,0.533,6.23,22.65,267.7,55.14,30.5,30.87,5.622
"B","forest","species1","3",61.24,48.81,15.29,46.84,0.641,5.92,20.19,50,47.67,24.54,39.81,5.938
"C","forest","species1","3",63.35,58.6,7.05,47.61,0.542,6.22,18.62,161.6,39.66,20.56,43.87,3.197
"D","forest","species1","3",60.23,66.11,11.8,42.74,0.556,5.9,18.4,221.4,33.37,13.9,36.98,5.054
"A","grassland","species1","3",53.05,52.8,8.56,35.52,0.432,6.51,20.23,666.1,50.06,27.94,22.77,3.811
"B","grassland","species1","3",46.38,30.15,6.58,38.62,0.452,6.02,19.91,530.2,28.89,17.43,31.37,3.255
"C","grassland","species1","3",46.29,38.43,9.9,40.47,0.326,5.7,20.45,596.6,29.27,19.22,30.69,4.231
"D","grassland","species1","3",51.41,55.26,2.06,38.77,0.439,6.35,19.96,616.1,33.14,17.62,32.93,1.186
"A","wetland","species1","3",56.11,56.63,21.94,40.1,0.912,5.68,23.26,437.7,43.48,23.03,31.16,4.728
"B","wetland","species1","3",46.15,21.07,12.22,38.23,0.806,6,19.64,442.3,50.31,20.87,36.53,3.924
"C","wetland","species1","3",35.14,37.58,0.5,35.14,0.861,5.67,18.06,517.2,29.36,11.74,35.51,4.254
"D","wetland","species1","3",49.13,35.9,6,41.35,0.838,6.25,18.6,398.7,41.82,17.31,28.88,5.91
"A","forest","species2","3",77.25,55.55,19.65,47.98,0.618,5.88,22.79,184.1,57.47,26.36,43.42,5.136
"B","forest","species2","3",66.49,42.18,3.51,46.34,0.682,6.17,21.8,273.6,42.1,16.69,32.46,5.06
"C","forest","species2","3",60.75,45.48,11.09,50.71,0.569,5.46,19.46,113.7,37.95,19.74,36.82,3.447
"D","forest","species2","3",63.99,58.08,14.23,51.32,0.543,6.03,21.29,346.3,27.18,13.05,35.26,1.727
"A","grassland","species2","3",64.04,65.59,20.69,39.92,0.424,6.49,22.47,728.7,47.52,21.8,24.41,1.855
"B","grassland","species2","3",49.03,40.61,18.93,44.8,0.457,6.11,20.29,687,33.84,15.98,31,3.483
"C","grassland","species2","3",49.73,39.06,17.34,39.65,0.314,5.48,16.73,555.9,26.24,14.12,29.27,2.251
"D","grassland","species2","3",59.28,45.4,20.53,45.47,0.507,5.1,20.33,632.8,26.78,13.43,28.63,5.351
"A","wetland","species2","3",70.53,65.96,13.54,41.39,0.863,6.71,22.57,426.6,50.88,25.74,41.43,2.867
"B","wetland","species2","3",57.01,34.79,18.24,40.32,0.772,6.17,20.06,409.8,41.21,19.46,39.46,4.97
"C","wetland","species2","3",44.52,38.12,9.65,38.8,0.77,6,20.35,392.2,42.59,23.68,33.17,3.679
"D","wetland","species2","3",56.78,55.64,21.55,41.52,0.886,6.36,19.79,463.6,27.55,13.21,33.2,6.121
"A","forest","species3","3",60.33,58.88,15.06,51.87,0.61,7.05,22.23,242.8,54.65,28.35,39.43,3.858
"B","forest","species3","3",60.39,52.48,16.84,59.6,0.633,6.09,22.25,190.7,44.19,23.9,41.97,4.918
"C","forest","species3","3",55.86,33.07,14.17,57.07,0.58,5.9,19.58,194,44.75,24.61,38.67,3.898
"D","forest","species3","3",69.61,47.47,19.87,60.36,0.626,6.16,20.88,135.4,44.06,21.45,27.38,5.182
"A","grassland","species3","3",60.07,40.85,15.25,51.24,0.427,6.12,23.86,631.3,45.17,22.42,29.31,1.289
"B","grassland","species3","3",45.63,22.07,7.47,52.39,0.366,5.97,21.01,577.5,34.93,16.45,25.78,2.976
"C","grassland","species3","3",43.33,35.06,9.69,58.11,0.347,5.68,20.31,531.8,23.33,11.83,35.32,4.55
"D","grassland","species3","3",48.49,51.02,25.11,44.92,0.391,5.92,20.96,614.4,20.06,14.49,34.97,2.285
"A","wetland","species3","3",50.87,16.23,5.62,40.71,0.861,6.58,22.77,327.4,49.68,23.05,36.34,5.943
"B","wetland","species3","3",45.83,44.25,12.29,43.87,0.818,6.06,21.57,454.3,38.48,19.16,32.72,7.584
"C","wetland","species3","3",35.52,26.39,9.38,50.04,0.864,5.44,19.93,420,32.77,17,36.56,4.393
"D","wetland","species3","3",48.84,31.38,15.54,42.78,0.798,6.06,19.75,519.2,31.27,19.22,32.09,2.456
"A","forest","species1","4",69.77,63.52,4.23,50.04,0.634,5.72,22.68,204.5,52,23.07,33.36,4.181
"B","forest","species1","4",57.74,52.68,6.42,49,0.592,5.7,20.19,182.8,47.41,25.15,35.6,4.192
"C","forest","species1","4",52.02,42.58,11.93,52.06,0.543,5.98,19.36,161,45.44,18.89,27.81,2.967
"D","forest","species1","4",57.75,37.01,8.1,38.85,0.642,6.43,22.5,253.9,30.35,8.63,37.43,2.507
"A","grassland","species1","4",54.45,36.51,9.75,37.29,0.562,6.6,22.71,588.1,38.71,14.09,31.03,7.346
"B","grassland","species1","4",54.25,27.22,15.24,42.45,0.409,6.18,22.26,641,29.72,12.31,29.56,2.213
"C","grassland","species1","4",45.11,54.9,9.42,39.69,0.336,6.04,18.36,536.8,31.36,17.24,37.85,1.388
"D","grassland","species1","4",57.16,44.17,8.68,42.67,0.418,6.85,17.73,706.1,25.75,14.24,28.77,4.402
"A","wetland","species1","4",50.78,33.08,9.53,33.73,0.92,6.03,22.85,432.4,49.36,27.46,35.68,4.647
"B","wetland","species1","4",47.85,16.67,18.91,38.39,0.787,6.16,21.17,374.1,40.06,19.44,25.23,1.417
"C","wetland","species1","4",45.37,32,17.65,37.4,0.685,6.55,20.34,226.5,36.45,20.22,29.34,3.176
"D","wetland","species1","4",49.87,34.4,8.51,37.36,0.808,5.49,20.89,439.6,35.68,24.38,38.35,5.412
"A","forest","species2","4",72.04,43.61,24.15,53.81,0.591,6.34,22.2,113.5,53.91,25.92,34.95,5.157
"B","forest","species2","4",59.09,71.11,16.13,48.42,0.585,6.03,20.78,287.9,47.34,23.32,35.7,2.579
"C","forest","species2","4",68.29,63.36,19.91,51.06,0.579,5.63,18.26,321.2,46.36,23.85,34.7,4.063
"D","forest","species2","4",69.75,40.45,11,46.19,0.536,5.53,19.01,354.4,34.81,18.99,35.06,3.822
"A","grassland","species2","4",74.12,70.64,9.28,44.53,0.423,6.45,22.01,611.5,43.44,26.84,29,4.912
"B","grassland","species2","4",55.4,54.77,18.79,40.01,0.399,6.02,19.74,647.9,34.57,17.08,25.76,4.659
"C","grassland","species2","4",46.84,43.37,6.34,43.01,0.359,5.26,17.84,568.9,33.21,21.45,34.81,0.61
"D","grassland","species2","4",50.43,44.34,7.74,45.24,0.487,5.7,22.3,617.9,28.36,15.26,28.6,4.751
"A","wetland","species2","4",58.82,48.51,14.11,44.8,0.91,6.38,23.57,334.2,43.96,24.22,42.37,2.896
"B","wetland","species2","4",53.13,48.7,3.33,41.1,0.769,6.4,20.11,406.7,33.3,12.14,33.17,3.579
"C","wetland","species2","4",52.07,31.33,14.27,42.18,0.741,5.6,18.96,369.7,26.58,12.02,32.01,5.203
"D","wetland","species2","4",56.26,38.52,18.99,45.24,0.738,6.29,19.89,369.3,32.34,16.13,28.8,3.949
"A","forest","species3","4",60.14,38.09,12.77,50.24,0.583,5.85,23.58,151.7,53.27,25.69,38.42,3.632
"B","forest","species3","4",59.34,45.82,4.5,54.95,0.55,5.86,20.11,89.6,43.23,16.39,33.44,4.12
"C","forest","species3","4",42.75,35.67,6.07,54.91,0.561,5.91,16.88,263.5,34.73,16.58,35.52,4.457
"D","forest","species3","4",57.17,51.76,9.8,58.34,0.581,6.15,20.82,73.4,35.11,22.39,39.43,3.827
"A","grassland","species3","4",56.42,50.43,17.64,49.87,0.497,5.62,23.77,569.8,39.21,18.03,34.48,2.037
"B","grassland","species3","4",38.26,45.06,13.21,47.36,0.417,6.04,20.63,653.4,32.24,15.38,35.93,1.343
"C","grassland","species3","4",47.6,44.05,11.69,44.33,0.418,6.58,20.74,476.7,23.95,15.83,27.44,3.592
"D","grassland","species3","4",47.89,50.87,8.34,48.08,0.475,5.79,19.55,606.3,24.16,6.77,24.6,4.452
"A","wetland","species3","4",53.33,53.64,10.89,50.55,0.855,6.98,23.44,360.6,41.95,17.81,30.96,3.612
"B","wetland","species3","4",51.98,35.7,14.65,52.87,0.785,6.22,18.83,303.7,30.61,12.98,38.73,7.756
"C","wetland","species3","4",43.18,42.06,13.17,51.26,0.674,6.63,21.12,266.8,28.79,11.37,32.91,2.885
"D","wetland","species3","4",47.46,42.5,18.94,44.49,0.846,6.1,19.93,313.5,33.57,13.17,35.02,5.388
"A","forest","species1","5",70.57,57.65,9.95,45.09,0.644,6.82,21.61,253.1,40.57,18.48,35.28,5.116
"B","forest","species1","5",60,38.96,15.19,47.98,0.616,6.54,21.52,139.5,53.46,22.43,33.19,6.975
"C","forest","species1","5",61.31,54.93,14.94,43.69,0.539,5.88,19.21,388.2,41.18,20.6,32.48,2.214
"D","forest","species1","5",62.38,50.54,5.3,42.24,0.696,6.82,21.71,350.1,30.35,16.35,37.22,4.722
"A","grassland","species1","5",62.53,46.48,12.9,39.82,0.485,6.11,23.31,534.5,38.74,17.39,28.95,4.561
"B","grassland","species1","5",51.74,50.62,8.46,37.17,0.433,5.46,21.8,587.8,39.45,23.68,33.58,3.121
"C","grassland","species1","5",43.11,44.41,3.26,35.05,0.307,6.18,19.01,547.4,26.34,12.58,30.88,3.357
"D","grassland","species1","5",53.49,51.53,12.91,37.35,0.406,6.81,22.03,523.8,19.44,5.25,27.19,3.29
"A","wetland","species1","5",65.19,26.04,2.68,41.39,0.813,6.21,22.48,463.5,42.09,24.84,29.29,3.309
"B","wetland","species1","5",42.62,25.12,14.34,39.4,0.839,6.59,20.57,288.6,24.07,11.05,27.38,0.914
"C","wetland","species1","5",42.61,43.46,16.45,37.9,0.736,5.83,18.65,362.1,29.95,12.31,31.93,4.306
"D","wetland","species1","5",56.81,38,18.75,36.5,0.853,6.42,20.97,450.9,27.44,13.11,31.01,5.18
"A","forest","species2","5",71.83,61.55,20.93,48.59,0.554,6.51,24.1,224.4,49.86,22.71,31.1,3.195
"B","forest","species2","5",57.73,48.02,13.97,49.66,0.609,6.29,20.65,370.8,47.16,25.37,37.74,2.444
"C","forest","species2","5",53.65,53.99,12.5,50.75,0.495,5.92,19.33,216.8,44.21,19.5,27.76,4.064
"D","forest","species2","5",64.05,44.14,13.78,55.5,0.627,6.06,21.94,239.1,36.39,17.93,34.86,6.074
"A","grassland","species2","5",60.76,48.03,9.7,45.4,0.485,6.54,24.96,801.6,39.09,12.69,30.71,1.257
"B","grassland","species2","5",53.7,46.41,12.75,44.74,0.372,5.32,23.61,555.5,49.59,21.94,32.04,4.579
"C","grassland","species2","5",47.93,51.07,14.03,46.25,0.35,6.24,19.04,540.2,22.85,13.76,28.65,2.394
"D","grassland","species2","5",57.08,43.89,6.02,48.41,0.357,6.85,21.56,695.2,17.17,7.35,31.56,3.808
"A","wetland","species2","5",64.04,54.13,13.09,46.9,0.815,5.93,22.76,416.2,51.24,24.04,29.8,5.151
"B","wetland","species2","5",55.12,30.67,10.38,43.42,0.706,6.14,20.39,436.6,28.79,14.76,38.07,3.623
"C","wetland","species2","5",55.39,50.64,13.65,39.72,0.742,5.17,19.7,262.5,33.42,13.91,34.93,3.697
"D","wetland","species2","5",54.66,45.79,7.64,43.33,0.803,5.69,20.12,545.9,33.11,15.09,28.85,3.034
"A","forest","species3","5",64.4,57.91,19.23,54.88,0.699,5.95,22.24,236.7,54.63,26.82,35.9,7.271
"B","forest","species3","5",63.36,46.58,11.66,52.94,0.623,5.72,21.13,195.2,41.56,20.26,36.78,6.547
"C","forest","species3","5",59.52,64.47,19.54,50.85,0.549,5.8,17.86,299.7,33.22,18.15,36.66,5.211
"D","forest","species3","5",59.22,45.97,10.55,57.54,0.646,6.4,20.08,248.9,30.95,14.86,38.5,3.192
"A","grassland","species3","5",56.34,46.28,18.42,52.29,0.411,6.08,23.25,768.9,38.18,21.79,32,3.356
"B","grassland","species3","5",38.89,30.05,6.4,50,0.409,6.27,22.49,660.7,37.85,15.54,30.73,2.194
"C","grassland","species3","5",50.06,48.51,14.04,47.84,0.27,5.64,20.01,464,30.99,14.63,26.6,0.339
"D","grassland","species3","5",46.81,29.77,11.39,49.19,0.336,5.83,20.3,678,21.33,10.07,29.85,2.323
"A","wetland","species3","5",49.38,41.52,10.18,44.04,0.897,6.23,24.73,384.4,44.41,20.88,26.28,3.673
"B","wetland","species3","5",60.22,53.92,20.84,45.3,0.804,5.8,20.55,419.5,44.76,23.83,25.63,7.498
"C","wetland","species3","5",41.18,20.49,9.55,46.67,0.821,5.44,18.91,356.6,31.48,17.13,27.41,1.221
"D","wetland","species3","5",47.83,40.54,12.38,47.21,0.811,5.76,19.2,351.2,23.51,10.74,37.84,2.528
"A","forest","species1","1",54.34,37.53,11.16,44.8,0.581,5.93,23.39,281.4,43.95,24.11,35.56,3.241
"B","forest","species1","1",57.5,60.29,10.64,46.75,0.555,5.48,19.96,279.1,48.02,19.33,36.67,5.893
"C","forest","species1","1",57.88,53.35,23.81,38.05,0.627,5.77,19.43,188.1,43.79,23.69,31.43,3.004
"D","forest","species1","1",63.07,33.2,13.04,51.37,0.529,6.65,19.61,276.6,30.99,15.08,30.15,3.859
"A","grassland","species1","1",64.56,60.84,15.2,45.48,0.408,5.93,23.15,607.9,33.34,14.51,28.03,7.497
"B","grassland","species1","1",59.92,50.11,14.94,41.32,0.464,5.94,18.78,633.2,35.25,15.15,25.72,2.491
"C","grassland","species1","1",50.85,35.06,11.87,35.78,0.342,6.45,20.33,552.5,42.18,22.05,27.27,3.555
"D","grassland","species1","1",50.46,36.81,18.05,42.35,0.331,5.98,19.26,732.5,31.21,14.62,30.95,0.494
"A","wetland","species1","1",60.52,35.7,7.59,29.9,0.835,6.67,22.42,488.4,47.81,23.53,38.27,4.697
"B","wetland","species1","1",46.01,40.67,8.07,41.28,0.822,6.31,20.04,341.8,41.14,25.32,36.89,6.385
"C","wetland","species1","1",39.31,15.06,2.5,39.82,0.803,5.03,19.48,281.3,34.83,14.41,34.63,1.47
"D","wetland","species1","1",35.72,27.17,3.87,33,0.771,5.85,20.04,445.5,22.57,10.64,36.48,4.036
"A","forest","species2","1",69.05,59.79,18.11,52.15,0.743,6.03,22.14,232.1,44.64,23.01,35.85,4.279
"B","forest","species2","1",65.44,53.19,18.93,49.73,0.599,6.19,20.78,139.6,46.83,22.31,37.95,6.326
"C","forest","species2","1",68.84,63.66,29.82,50.52,0.578,6.32,18.67,76.7,43.29,25.9,33.65,3.697
"D","forest","species2","1",68.5,55.31,18.01,49.34,0.59,6.46,21.04,173.2,35.88,19.58,36.35,3.119
"A","grassland","species2","1",68.1,77.57,13.92,45.82,0.514,6.46,24.13,619.4,37.27,15.86,31.29,3.782
"B","grassland","species2","1",50.17,31.54,5.81,48.18,0.467,5.3,21.86,589.8,35.12,15.21,23.81,4.586
"C","grassland","species2","1",50.81,56.04,13.02,42.66,0.322,6.05,19.38,629.6,24.86,13.95,35.81,1.552
"D","grassland","species2","1",47.61,21.94,14.84,35.87,0.384,5.68,19.61,674.2,27.12,16.1,22.04,5.388
"A","wetland","species2","1",64.43,40.77,12.3,46.92,0.812,5.86,20.99,536.6,43.54,26.85,25.91,5.557
"B","wetland","species2","1",55.48,35.37,13.5,35.92,0.878,5.7,20.76,379.8,44.12,21.4,40.1,3.705
"C","wetland","species2","1",47.93,23.13,11.5,43.37,0.777,5.53,19,425.2,34.36,16.12,33.11,2.581
"D","wetland","species2","1",58.5,61.65,10.92,42.12,0.83,6.59,20.74,444.8,39.67,19.56,29.25,5.851
"A","forest","species3","1",67.56,64.38,19.15,56.06,0.7,6.06,22.7,272.4,50.38,24.48,36.49,0.998
"B","forest","species3","1",59.8,61.55,6.11,58.52,0.573,6.82,20.03,242.6,45.66,21.87,26.88,6.133
"C","forest","species3","1",60.21,42.08,23.48,55.03,0.537,6.15,18.93,111.9,34.39,17.01,36.72,5.135
"D","forest","species3","1",64.56,52.51,14.75,56.36,0.666,5.93,19.97,157.5,35.33,17.65,36.99,3.275
"A","grassland","species3","1",58.16,57.72,14.97,47.11,0.372,5.92,22.79,560.4,45.12,22.53,34.66,2.816
"B","grassland","species3","1",42.43,44.55,9.47,50.69,0.432,6.1,22.37,585.4,37.47,15.01,28.37,3.564
"C","grassland","species3","1",45.09,41.67,2.95,49.76,0.274,5.74,17.92,631.1,26.23,9.54,35.4,3.581
"D","grassland","species3","1",49,40.78,13.49,52.05,0.377,7.28,19.15,719,25.71,12.33,24.12,1.945
"A","wetland","species3","1",62.47,38.33,13.36,49.31,0.867,5.83,23.38,453.7,37.65,17.12,33.04,3.095
"B","wetland","species3","1",36.96,32.67,2.51,45.93,0.791,6.41,21.17,453.4,35.65,16.91,32.91,3.22
"C","wetland","species3","1",37.92,28.55,9.76,43.19,0.78,5.62,17.39,257.1,35.83,13.84,36.01,4.969
"D","wetland","species3","1",50.11,33.54,1.07,43.47,0.766,7.11,18.35,428.2,26.39,8.08,34.91,4.759
"A","forest","species1","2",67.24,69.55,22.85,42.5,0.631,6.44,22.87,166.1,44.57,21.76,33.72,3.897
"B","forest","species1","2",54.97,36.96,7.53,45.7,0.593,6,18.67,238.6,45.81,22.32,37.8,5.469
"C","forest","species1","2",51.48,43.61,10.54,42.76,0.565,5.89,19.49,233.7,41.53,18.74,37.67,3.313
"D","forest","species1","2",64.15,56.48,23.63,45.31,0.58,6.58,20.2,182,39.74,20.4,35.21,1.503
"A","grassland","species1","2",64.48,62.09,7.21,43.55,0.565,6.24,23.77,595.5,47.29,28.09,25.98,4.465
"B","grassland","species1","2",53.3,46.31,20,38.57,0.349,6.44,21.4,562,31.85,9.34,28.66,6.497
"C","grassland","species1","2",56.37,64.83,16.42,42,0.303,6.5,17.95,600.5,25.27,14.16,32.35,3.848
"D","grassland","species1","2",58.87,51.55,16.6,39.41,0.415,6.18,20.27,624.9,32.73,11.78,32.01,4.561
"A","wetland","species1","2",58.44,41.87,1.96,35.91,0.793,6.61,24.27,415,34.61,22.47,37.35,7.571
"B","wetland","species1","2",43.7,35.99,8.03,35.59,0.774,5.77,19.87,404.8,38.54,19.25,34.86,5.098
"C","wetland","species1","2",56.6,51.97,5.47,37.15,0.766,5.09,18.79,389.2,33.03,15.04,32.78,6.118
"D","wetland","species1","2",53.39,20.8,8.09,35.54,0.85,6.15,18.39,439.3,34.91,19.57,32.26,6.129
"A","forest","species2","2",69.58,54.71,17.97,53.18,0.678,6.15,23.01,315.7,45.96,16.2,34.35,5.632
"B","forest","species2","2",63.93,51.56,9.9,49.92,0.559,6.37,21.64,169.1,39.86,23.94,34.06,5.215
"C","forest","species2","2",56.38,42.72,17.83,51.95,0.57,6.15,17.81,281.8,41.09,21.78,33.17,5.372
"D","forest","species2","2",64.63,52.21,14.74,54.8,0.612,5.84,20.29,360.1,28.25,18.37,31.01,3.158
